[2024-03-01 14:38:50,140][line:142][INFO]start training !
[2024-03-01 14:42:05,186][line:121][INFO]Epoch[1/20]	 [train]	 loss=0.350	 acc=87.730%
[2024-03-01 14:42:15,142][line:139][INFO][val]	 loss=0.050	 acc=98.420%
[2024-03-01 14:45:32,745][line:121][INFO]Epoch[2/20]	 [train]	 loss=0.049	 acc=98.545%
[2024-03-01 14:45:43,231][line:139][INFO][val]	 loss=0.036	 acc=98.940%
[2024-03-01 14:49:01,150][line:121][INFO]Epoch[3/20]	 [train]	 loss=0.033	 acc=99.040%
[2024-03-01 14:49:11,621][line:139][INFO][val]	 loss=0.024	 acc=99.250%
[2024-03-01 14:52:30,242][line:121][INFO]Epoch[4/20]	 [train]	 loss=0.024	 acc=99.305%
[2024-03-01 14:52:40,743][line:139][INFO][val]	 loss=0.024	 acc=99.250%
[2024-03-01 14:56:00,297][line:121][INFO]Epoch[5/20]	 [train]	 loss=0.019	 acc=99.407%
[2024-03-01 14:56:11,361][line:139][INFO][val]	 loss=0.026	 acc=99.220%
[2024-03-01 14:59:29,480][line:121][INFO]Epoch[6/20]	 [train]	 loss=0.016	 acc=99.517%
[2024-03-01 14:59:39,501][line:139][INFO][val]	 loss=0.022	 acc=99.280%
[2024-03-01 15:02:54,980][line:121][INFO]Epoch[7/20]	 [train]	 loss=0.012	 acc=99.632%
[2024-03-01 15:03:05,673][line:139][INFO][val]	 loss=0.024	 acc=99.320%
[2024-03-01 15:06:19,277][line:121][INFO]Epoch[8/20]	 [train]	 loss=0.011	 acc=99.667%
[2024-03-01 15:06:29,342][line:139][INFO][val]	 loss=0.025	 acc=99.180%
[2024-03-01 15:09:44,707][line:121][INFO]Epoch[9/20]	 [train]	 loss=0.010	 acc=99.702%
[2024-03-01 15:09:54,848][line:139][INFO][val]	 loss=0.021	 acc=99.250%
[2024-03-01 15:13:11,740][line:121][INFO]Epoch[10/20]	 [train]	 loss=0.009	 acc=99.683%
[2024-03-01 15:13:22,002][line:139][INFO][val]	 loss=0.025	 acc=99.250%
[2024-03-01 15:16:37,289][line:121][INFO]Epoch[11/20]	 [train]	 loss=0.007	 acc=99.780%
[2024-03-01 15:16:47,673][line:139][INFO][val]	 loss=0.029	 acc=99.090%
[2024-03-01 15:20:02,242][line:121][INFO]Epoch[12/20]	 [train]	 loss=0.007	 acc=99.785%
[2024-03-01 15:20:12,487][line:139][INFO][val]	 loss=0.029	 acc=99.260%
[2024-03-01 15:23:29,231][line:121][INFO]Epoch[13/20]	 [train]	 loss=0.006	 acc=99.825%
[2024-03-01 15:23:39,265][line:139][INFO][val]	 loss=0.024	 acc=99.410%
[2024-03-01 15:26:55,768][line:121][INFO]Epoch[14/20]	 [train]	 loss=0.005	 acc=99.850%
[2024-03-01 15:27:06,422][line:139][INFO][val]	 loss=0.024	 acc=99.370%
[2024-03-01 15:30:22,648][line:121][INFO]Epoch[15/20]	 [train]	 loss=0.005	 acc=99.833%
[2024-03-01 15:30:32,849][line:139][INFO][val]	 loss=0.021	 acc=99.400%
[2024-03-01 15:33:48,563][line:121][INFO]Epoch[16/20]	 [train]	 loss=0.003	 acc=99.892%
[2024-03-01 15:33:58,646][line:139][INFO][val]	 loss=0.031	 acc=99.360%
[2024-03-01 15:37:14,775][line:121][INFO]Epoch[17/20]	 [train]	 loss=0.004	 acc=99.837%
[2024-03-01 15:37:25,016][line:139][INFO][val]	 loss=0.036	 acc=99.230%
[2024-03-01 15:40:42,151][line:121][INFO]Epoch[18/20]	 [train]	 loss=0.004	 acc=99.867%
[2024-03-01 15:40:52,572][line:139][INFO][val]	 loss=0.025	 acc=99.420%
[2024-03-01 15:44:09,756][line:121][INFO]Epoch[19/20]	 [train]	 loss=0.004	 acc=99.873%
[2024-03-01 15:44:20,037][line:139][INFO][val]	 loss=0.020	 acc=99.430%
[2024-03-01 15:47:38,358][line:121][INFO]Epoch[20/20]	 [train]	 loss=0.004	 acc=99.897%
[2024-03-01 15:47:48,856][line:139][INFO][val]	 loss=0.026	 acc=99.390%
