Wall time,Step,Value
1709275335.1467159,1,0.3495411276817322
1709275543.231312,2,0.049004413187503815
1709275751.622651,3,0.03291289880871773
1709275960.7430506,4,0.023796990513801575
1709276171.3611221,5,0.01940670795738697
1709276379.5019913,6,0.016242418438196182
1709276585.674559,7,0.012178936041891575
1709276789.3432589,8,0.010664909146726131
1709276994.8488955,9,0.009749640710651875
1709277202.0037966,10,0.009493207558989525
1709277407.673543,11,0.00726351561024785
1709277612.4873493,12,0.007141053676605225
1709277819.265957,13,0.006037863437086344
1709278026.4234269,14,0.004861142951995134
1709278232.849638,15,0.00548215676099062
1709278438.6467745,16,0.0032105206046253443
1709278645.0162642,17,0.004488700535148382
1709278852.572779,18,0.004154718015342951
1709279060.0372546,19,0.004279022570699453
1709279268.8569252,20,0.0036096498370170593
